,name,year_of_release,genre,platform,na_sales,eu_sales,jp_sales,other_sales
16293,AKB1/48: Idol to Guam de Koishitara...,,Misc,X360,0.0,0.0,0.01,0.0
4800,AKB1/48: Idol to Guam de Koishitara...,2011.0,Misc,PSP,0.0,0.0,0.4,0.0
11092,Action Man-Operation Extreme,,Action,PS,0.05,0.03,0.0,0.01
3289,Advance Wars: Days of Ruin,,Strategy,DS,0.43,0.12,0.0,0.05
1506,Adventure,,Adventure,2600,1.21,0.08,0.0,0.01
16348,Agarest Senki: Re-appearance,,Role-Playing,PS3,0.0,0.0,0.01,0.0
2106,Air-Sea Battle,,Shooter,2600,0.91,0.06,0.0,0.01
12241,Alex Rider: Stormbreaker,,Action,DS,0.06,0.0,0.0,0.0
5655,All-Star Baseball 2005,,Sports,PS2,0.16,0.12,0.0,0.04
8918,All-Star Baseball 2005,,Sports,XB,0.11,0.03,0.0,0.01
8547,Alone in the Dark: The New Nightmare,,Adventure,PS,0.09,0.06,0.0,0.01
16353,Aquaman: Battle for Atlantis,2003.0,Action,GC,0.01,0.0,0.0,0.0
16157,Aquaman: Battle for Atlantis,,Action,XB,0.01,0.0,0.0,0.0
10486,Atsumare! Power Pro Kun no DS Koushien,,Sports,DS,0.0,0.0,0.1,0.0
13711,B.L.U.E.: Legend of Water,,Adventure,PS,0.0,0.0,0.04,0.0
8067,Backbreaker,,Sports,X360,0.17,0.0,0.0,0.01
8260,Backbreaker,,Sports,PS3,0.16,0.0,0.0,0.01
14765,Battle vs. Chess,2011.0,Misc,X360,0.0,0.02,0.0,0.0
13609,Battle vs. Chess,,Misc,PS3,0.0,0.03,0.0,0.01
14746,Battle vs. Chess,,Misc,PC,0.0,0.02,0.0,0.0
9218,Bejeweled 3,,Puzzle,X360,0.13,0.0,0.0,0.01
5443,Bejeweled 3,,Puzzle,DS,0.29,0.02,0.0,0.02
11352,Bejeweled 3,2010.0,Puzzle,PC,0.02,0.05,0.0,0.01
9043,Bejeweled 3,,Puzzle,PS3,0.13,0.0,0.0,0.02
14325,Beyond the Labyrinth,,Role-Playing,3DS,0.0,0.0,0.03,0.0
7108,Big Beach Sports 2,,Sports,Wii,0.09,0.11,0.0,0.02
14350,Bikkuriman Daijiten,,Misc,DS,0.0,0.0,0.03,0.0
744,BioShock 2,2010.0,Shooter,X360,1.45,0.54,0.02,0.19
1211,BioShock 2,2010.0,Shooter,PS3,0.85,0.46,0.02,0.22
6818,BioShock 2,,Shooter,PC,0.02,0.19,0.0,0.04
7354,Breakaway IV,,Puzzle,2600,0.2,0.01,0.0,0.0
16329,Brothers in Arms: Furious 4,,Shooter,X360,0.01,0.0,0.0,0.0
12185,Brothers in Arms: Furious 4,2012.0,Shooter,PS3,0.01,0.05,0.0,0.01
12209,Build-A-Bear Workshop: Friendship Valley,,Misc,Wii,0.06,0.0,0.0,0.0
15675,Cabela's Alaskan Adventure,,Sports,PS2,0.01,0.01,0.0,0.0
9486,Cabela's Alaskan Adventure,2006.0,Sports,X360,0.12,0.0,0.0,0.01
719,Call of Duty 3,,Shooter,Wii,1.17,0.84,0.0,0.23
557,Call of Duty 3,2006.0,Shooter,X360,1.49,0.92,0.02,0.27
1915,Call of Duty 3,2006.0,Shooter,PS2,0.89,0.03,0.0,0.15
1255,Call of Duty 3,2006.0,Shooter,PS3,0.6,0.62,0.03,0.26
1412,Call of Duty: Black Ops,2010.0,Shooter,Wii,0.8,0.45,0.0,0.12
